001  00262 |Loss: 1.618 | Acc: 40.363% 
001  00263 |Loss: 1.617 | Acc: 40.426% 
001  00264 |Loss: 1.616 | Acc: 40.459% 
001  00265 |Loss: 1.616 | Acc: 40.457% 
001  00266 |Loss: 1.615 | Acc: 40.508% 
001  00267 |Loss: 1.615 | Acc: 40.520% 
001  00268 |Loss: 1.614 | Acc: 40.546% 
001  00269 |Loss: 1.613 | Acc: 40.613% 
001  00270 |Loss: 1.612 | Acc: 40.634% 
001  00271 |Loss: 1.611 | Acc: 40.680% 
001  00272 |Loss: 1.609 | Acc: 40.705% 
001  00273 |Loss: 1.608 | Acc: 40.754% 
001  00274 |Loss: 1.607 | Acc: 40.785% 
001  00275 |Loss: 1.606 | Acc: 40.830% 
001  00276 |Loss: 1.605 | Acc: 40.860% 
001  00277 |Loss: 1.605 | Acc: 40.882% 
001  00278 |Loss: 1.604 | Acc: 40.912% 
001  00279 |Loss: 1.603 | Acc: 40.933% 
001  00280 |Loss: 1.602 | Acc: 40.951% 
001  00281 |Loss: 1.601 | Acc: 41.000% 
001  00282 |Loss: 1.601 | Acc: 41.021% 
001  00283 |Loss: 1.600 | Acc: 41.036% 
001  00284 |Loss: 1.599 | Acc: 41.076% 
001  00285 |Loss: 1.598 | Acc: 41.124% 
001  00286 |Loss: 1.598 | Acc: 41.152% 
001  00287 |Loss: 1.597 | Acc: 41.169% 
001  00288 |Loss: 1.596 | Acc: 41.200% 
001  00289 |Loss: 1.594 | Acc: 41.244% 
001  00290 |Loss: 1.594 | Acc: 41.263% 
001  00291 |Loss: 1.593 | Acc: 41.304% 
001  00292 |Loss: 1.592 | Acc: 41.339% 
001  00293 |Loss: 1.591 | Acc: 41.358% 
001  00294 |Loss: 1.590 | Acc: 41.398% 
001  00295 |Loss: 1.589 | Acc: 41.438% 
001  00296 |Loss: 1.588 | Acc: 41.478% 
001  00297 |Loss: 1.587 | Acc: 41.488% 
001  00298 |Loss: 1.586 | Acc: 41.522% 
001  00299 |Loss: 1.585 | Acc: 41.550% 
001  00300 |Loss: 1.585 | Acc: 41.573% 
001  00301 |Loss: 1.583 | Acc: 41.614% 
001  00302 |Loss: 1.583 | Acc: 41.626% 
001  00303 |Loss: 1.582 | Acc: 41.664% 
001  00304 |Loss: 1.581 | Acc: 41.694% 
001  00305 |Loss: 1.580 | Acc: 41.732% 
001  00306 |Loss: 1.579 | Acc: 41.766% 
001  00307 |Loss: 1.578 | Acc: 41.808% 
001  00308 |Loss: 1.577 | Acc: 41.810% 
001  00309 |Loss: 1.577 | Acc: 41.821% 
001  00310 |Loss: 1.577 | Acc: 41.847% 
001  00311 |Loss: 1.576 | Acc: 41.873% 
001  00312 |Loss: 1.576 | Acc: 41.912% 
001  00313 |Loss: 1.575 | Acc: 41.950% 
001  00314 |Loss: 1.573 | Acc: 41.996% 
001  00315 |Loss: 1.572 | Acc: 42.036% 
001  00316 |Loss: 1.571 | Acc: 42.094% 
001  00317 |Loss: 1.570 | Acc: 42.128% 
001  00318 |Loss: 1.569 | Acc: 42.158% 
001  00319 |Loss: 1.569 | Acc: 42.168% 
001  00320 |Loss: 1.568 | Acc: 42.205% 
001  00321 |Loss: 1.567 | Acc: 42.251% 
001  00322 |Loss: 1.566 | Acc: 42.294% 
001  00323 |Loss: 1.566 | Acc: 42.313% 
001  00324 |Loss: 1.564 | Acc: 42.371% 
001  00325 |Loss: 1.564 | Acc: 42.382% 
001  00326 |Loss: 1.563 | Acc: 42.425% 
001  00327 |Loss: 1.562 | Acc: 42.436% 
001  00328 |Loss: 1.562 | Acc: 42.454% 
001  00329 |Loss: 1.561 | Acc: 42.506% 
001  00330 |Loss: 1.560 | Acc: 42.569% 
001  00331 |Loss: 1.559 | Acc: 42.603% 
001  00332 |Loss: 1.558 | Acc: 42.651% 
001  00333 |Loss: 1.557 | Acc: 42.708% 
001  00334 |Loss: 1.556 | Acc: 42.747% 
001  00335 |Loss: 1.555 | Acc: 42.768% 
001  00336 |Loss: 1.554 | Acc: 42.811% 
001  00337 |Loss: 1.553 | Acc: 42.864% 
001  00338 |Loss: 1.552 | Acc: 42.920% 
001  00339 |Loss: 1.551 | Acc: 42.960% 
001  00340 |Loss: 1.550 | Acc: 42.999% 
001  00341 |Loss: 1.549 | Acc: 43.033% 
001  00342 |Loss: 1.547 | Acc: 43.069% 
001  00343 |Loss: 1.546 | Acc: 43.119% 
001  00344 |Loss: 1.545 | Acc: 43.162% 
001  00345 |Loss: 1.544 | Acc: 43.202% 
001  00346 |Loss: 1.543 | Acc: 43.242% 
001  00347 |Loss: 1.542 | Acc: 43.268% 
001  00348 |Loss: 1.541 | Acc: 43.344% 
001  00349 |Loss: 1.540 | Acc: 43.374% 
001  00350 |Loss: 1.539 | Acc: 43.391% 
001  00351 |Loss: 1.538 | Acc: 43.436% 
001  00352 |Loss: 1.537 | Acc: 43.486% 
001  00353 |Loss: 1.536 | Acc: 43.542% 
001  00354 |Loss: 1.535 | Acc: 43.580% 
001  00355 |Loss: 1.534 | Acc: 43.614% 
001  00356 |Loss: 1.534 | Acc: 43.634% 
001  00357 |Loss: 1.533 | Acc: 43.652% 
001  00358 |Loss: 1.532 | Acc: 43.693% 
001  00359 |Loss: 1.532 | Acc: 43.709% 
001  00360 |Loss: 1.531 | Acc: 43.741% 
001  00361 |Loss: 1.530 | Acc: 43.778% 
001  00362 |Loss: 1.530 | Acc: 43.791% 
001  00363 |Loss: 1.529 | Acc: 43.815% 
001  00364 |Loss: 1.529 | Acc: 43.849% 
001  00365 |Loss: 1.528 | Acc: 43.878% 
001  00366 |Loss: 1.527 | Acc: 43.914% 
001  00367 |Loss: 1.526 | Acc: 43.961% 
001  00368 |Loss: 1.525 | Acc: 43.990% 
001  00369 |Loss: 1.524 | Acc: 44.021% 
001  00370 |Loss: 1.523 | Acc: 44.054% 
001  00371 |Loss: 1.523 | Acc: 44.066% 
001  00372 |Loss: 1.523 | Acc: 44.078% 
001  00373 |Loss: 1.521 | Acc: 44.117% 
001  00374 |Loss: 1.520 | Acc: 44.166% 
001  00375 |Loss: 1.520 | Acc: 44.190% 
001  00376 |Loss: 1.519 | Acc: 44.209% 
001  00377 |Loss: 1.518 | Acc: 44.241% 
001  00378 |Loss: 1.517 | Acc: 44.271% 
001  00379 |Loss: 1.516 | Acc: 44.313% 
001  00380 |Loss: 1.516 | Acc: 44.336% 
001  00381 |Loss: 1.515 | Acc: 44.380% 
001  00382 |Loss: 1.513 | Acc: 44.441% 
001  00383 |Loss: 1.512 | Acc: 44.490% 
001  00384 |Loss: 1.511 | Acc: 44.523% 
001  00385 |Loss: 1.510 | Acc: 44.562% 
001  00386 |Loss: 1.509 | Acc: 44.584% 
001  00387 |Loss: 1.509 | Acc: 44.606% 
001  00388 |Loss: 1.508 | Acc: 44.628% 
001  00389 |Loss: 1.507 | Acc: 44.676% 
001  00390 |Loss: 1.506 | Acc: 44.696% 
001  00391 |Loss: 1.506 | Acc: 44.710% 
002  00392 |Loss: 1.224 | Acc: 54.688% 
002  00393 |Loss: 1.245 | Acc: 55.078% 
002  00394 |Loss: 1.170 | Acc: 57.552% 
002  00395 |Loss: 1.131 | Acc: 59.375% 
002  00396 |Loss: 1.155 | Acc: 57.812% 
002  00397 |Loss: 1.171 | Acc: 57.552% 
002  00398 |Loss: 1.163 | Acc: 57.924% 
002  00399 |Loss: 1.192 | Acc: 57.422% 
002  00400 |Loss: 1.189 | Acc: 57.639% 
002  00401 |Loss: 1.184 | Acc: 57.500% 
002  00402 |Loss: 1.170 | Acc: 57.812% 
002  00403 |Loss: 1.165 | Acc: 57.812% 
002  00404 |Loss: 1.165 | Acc: 57.933% 
002  00405 |Loss: 1.167 | Acc: 57.757% 
002  00406 |Loss: 1.170 | Acc: 56.979% 
002  00407 |Loss: 1.169 | Acc: 57.178% 
002  00408 |Loss: 1.175 | Acc: 56.756% 
002  00409 |Loss: 1.168 | Acc: 57.031% 
002  00410 |Loss: 1.163 | Acc: 57.237% 
002  00411 |Loss: 1.165 | Acc: 57.031% 
002  00412 |Loss: 1.157 | Acc: 57.366% 
002  00413 |Loss: 1.154 | Acc: 57.670% 
002  00414 |Loss: 1.151 | Acc: 57.982% 
002  00415 |Loss: 1.156 | Acc: 57.812% 
002  00416 |Loss: 1.153 | Acc: 57.938% 
002  00417 |Loss: 1.155 | Acc: 57.933% 
002  00418 |Loss: 1.158 | Acc: 57.986% 
002  00419 |Loss: 1.153 | Acc: 58.092% 
002  00420 |Loss: 1.152 | Acc: 58.055% 
002  00421 |Loss: 1.154 | Acc: 57.943% 
002  00422 |Loss: 1.155 | Acc: 58.039% 
002  00423 |Loss: 1.154 | Acc: 58.008% 
